distorted,axis,nu,gamma2,gamma1_star,eps
False,nu,3.0,1.0,2.0,
False,nu,5.0,1.0,2.0,
False,nu,8.0,1.0,2.0,
False,nu,inf,1.0,2.0,
False,nu,3.0,1.5,2.0,
False,nu,5.0,1.5,2.0,
False,nu,8.0,1.5,2.0,
False,nu,inf,1.5,2.0,
False,nu,3.0,2.0,2.0,
False,nu,5.0,2.0,2.0,
False,nu,8.0,2.0,2.0,
False,nu,inf,2.0,2.0,
False,nu,3.0,4.0,2.0,
False,nu,5.0,4.0,2.0,
False,nu,8.0,4.0,2.0,
False,nu,inf,4.0,2.0,
False,eps,,1.0,2.0,0.0
False,eps,,1.0,2.0,0.01
False,eps,,1.0,2.0,0.02
False,eps,,1.0,2.0,0.03
False,eps,,1.5,2.0,0.0
False,eps,,1.5,2.0,0.01
False,eps,,1.5,2.0,0.02
False,eps,,1.5,2.0,0.03
False,eps,,2.0,2.0,0.0
False,eps,,2.0,2.0,0.01
False,eps,,2.0,2.0,0.02
False,eps,,2.0,2.0,0.03
False,eps,,4.0,2.0,0.0
False,eps,,4.0,2.0,0.01
False,eps,,4.0,2.0,0.02
False,eps,,4.0,2.0,0.03
True,nu,3.0,1.0,2.0,
True,nu,5.0,1.0,2.0,
True,nu,8.0,1.0,2.0,
True,nu,inf,1.0,2.0,
True,nu,3.0,1.5,2.0,
True,nu,5.0,1.5,2.0,
True,nu,8.0,1.5,2.0,
True,nu,inf,1.5,2.0,
True,nu,3.0,2.0,2.0,
True,nu,5.0,2.0,2.0,
True,nu,8.0,2.0,2.0,
True,nu,inf,2.0,2.0,
True,nu,3.0,4.0,2.0,
True,nu,5.0,4.0,2.0,
True,nu,8.0,4.0,2.0,
True,nu,inf,4.0,2.0,
True,eps,,1.0,2.0,0.0
True,eps,,1.0,2.0,0.01
True,eps,,1.0,2.0,0.02
True,eps,,1.0,2.0,0.03
True,eps,,1.5,2.0,0.0
True,eps,,1.5,2.0,0.01
True,eps,,1.5,2.0,0.02
True,eps,,1.5,2.0,0.03
True,eps,,2.0,2.0,0.0
True,eps,,2.0,2.0,0.01
True,eps,,2.0,2.0,0.02
True,eps,,2.0,2.0,0.03
True,eps,,4.0,2.0,0.0
True,eps,,4.0,2.0,0.01
True,eps,,4.0,2.0,0.02
True,eps,,4.0,2.0,0.03
